;text
0;@arlizaedits eu to lendo arquivos Nardoni kkkkk
1;Ai to assistindo Anatomia do Crime... q revoltante o caso nardoni ... até arrepia
2;Esse advogado de defesa do Alexandre Nardoni e da Jatobá ta me dando muita raiva pqp
3;"P.S.: Fui atropelada p/ ""ente reprodutor""de minha filha, 3 meses após o parto.
Motivo? Não queria mais NADA com ele… https://t.co/8c9GAjCmg5"
4;@nardoni_lucca poxa, são tão lindos
