;text
0;@dcaf1 @Uninove Primeiro bimestre fiz de noite e acabei não gostando muito,então agora no segundo mudei para manhã
1;"@GABYAGY @Uninove aeeeee

a uninove fez isso na minha primeira kkk eu entrei na sala do pessoal do segundo 

você faz de manhã ou de noite ?"
2;"Sabadão, dia de tomar banho...*

Nesse frio intenso alguém tem alguma dica de como tomar banho sem se molhar?"
3;a uninove demora um século pra liberar os boletos, ai quando libera vence no outro dia 🤪
4;Reclama da FMU quem não conhece a Uninove
