;text
49;@oratinhostuart Mas vc é capacho do Kim! Pq esconder? Vc me viu defendendo o Bolsonaro aq como vc lambe o saco do K… https://t.co/NtsEinJBws
50;CPI: Heinze assume vaga titular no lugar de Ciro Nogueira, e Flávio Bolsonaro passa a ser suplente | CPI da Covid… https://t.co/NftrljRuXA
51;@ger22p @Joaquim06142029 @anazildo1 @nk050708 @taniamotatomaz @TaninhaToledo @CrfBolso @gera38JB @ml040278 @malu_an… https://t.co/1oXPpnrCjQ
52;@KimKataguiri @OBode16 @jairbolsonaro Bolsonaro, que decepção. https://t.co/LJdnn1YpQC
53;@lulafalcao Bolsonaro não apresenta nem os dois projetos de seus 28 anos como deputado, muito menos agora.
54;@folha Conheço esta musica da campanha do bolsonaro, a folha esta fazendo fake news.
55;"Marinho: “5 bilhões que iam para Globo agora são usados para fazer barragem”

Ministro aponta que Bolsonaro é ataca… https://t.co/cLwWzCHZNQ"
56;O governo Bolsonaro é tão pervertido, que já há quem diga que é preferível o Centrão às alas ideológica e militar.… https://t.co/Vhcc0EK3yD
57;@Vinny_Sep87 @_l3itad4s_l03n mas qual a diferença do bolsonaro pra eles?
58;@senadorhumberto Melhor o centrão do que o PT! Bolsonaro sabe o que faz! https://t.co/sggTlZYYMa
59;Nomeado ministro de Bolsonaro, Ciro Nogueira apoiou Lula em 2018: ‘Eu fico com Lula até o fim’ https://t.co/ozeoFFi5rg
60;Bolsonaro diz que está entregando a ‘alma do governo’ a líder do centrão https://t.co/RFu66lwHF2
61;E tem gente que acredita em Bolsonaro ainda. https://t.co/9chrGaQy2W
62;Carlos Viana, de saída do PSD e ainda em conversas com outros partidos, é conhecido, tem muita força nas igrejas e… https://t.co/tzvky7hp4i
63;"#Análise | ""São Paulo tende a dificultar reeleição de Bolsonaro (@jairbolsonaro)"", escreve o editor sênior do… https://t.co/IKpojVDNRo"
64;"👏👏👏👏👊😷😷🇧🇷🇺🇸🇵🇹💉💉💉
#ForaRodrigoPacheco
#ForaRicardoBarros
#PachecoCONIVENTE
#BolsonaroCorrupto
#24JForaBolsonaro… https://t.co/aOG3vt9zLV"
65;@PEDROCLAUDIAEH @LizTaylorAlva @STF_oficial Sim! Foi um atentado horrível ele não ter dar uma giradinha na faca ou… https://t.co/iBYGIjouL0
66;@senadorhumberto Bolsonaro melhor presidente desse Brasil 🇧🇷
67;"@Keruvim_ O problema não é a violência

É literalmente ver o Bolsonaro pelado mil vezes"
68;@fullgas_987 Na comparação histórica mais evidente ainda como a transferência do Bolsonaro de um turno ao outro foi mínima em Natal
69;@Marcelo93207172 Os melhores kkk
70;Aposto que Bolsonaro fala que “treina”
71;Câmeras não mostram entrada de estranho em prédio de Joice, apontam investigações https://t.co/jenf5WnlSH #F5Online… https://t.co/8Go8bkiCDF
72;"@jairbolsonaro E VOCÊ VIU PRESIDA, QUE A MÚSICA DA APRESENTAÇÃO DELA, ERA O FUNK DO BOLSONARO???
😂😎🇧🇷💪👊🇧🇷💚💚… https://t.co/nd8X5DtKVA"
73;@yoonpony KKKKKKKKKKKKKK coloquei pra antes de morrer ir conhecer o bolsonaro😎😎😎👍👍
74;@roohfernandess @Giovanni_Abrao @CarlaZambelli38 vem bolsonaro, vem que o pai é teu
75;@tabataamaralsp E sabem por que Bolsonaro será candidato forte? Reparem que toda a cultura e política e pro gaysism… https://t.co/JTWcyZu2jO
