;text
52;@Mattdavelewis NO FLOW 🇧🇷🇧🇷🇧🇷🇧🇷 POR ONDE A GENTE PASSA 🇧🇷🇧🇷🇧🇷É SHOW 🇧🇷🇧🇷🇧🇷 FECHOU 🇧🇷🇧🇷🇧🇷 E OLHA  ONDE A GENTE CHEGO… https://t.co/C2AGIQAgrK
53;@Jan_CRF @lipesilva002 @futebol_info Teria no lugar de ponta direita no lugar do Everton Ribeiro
54;@ttktehy Não ligo muito para futebol, mas “torço” para o Fluminense e Grêmio:)
55;@futebol_info @CopadoBrasil Tá com moral hein punheta do futebol
56;@bacalhaudazoeir 3 derrotas com ele em campo, vcs entendem mt de futebol
57;São Paulo Futebol Clube https://t.co/V6bA6O8kzu
58;@osincerr @LibertadoresBR @Flamengo @elClubOlimpia Não adianta vc chorar, 1981 foi o maior assalto do futebol mundial
59;"@Mattdavelewis @PikachuSFC Trophies won since 1967:

🇧🇷 Brazil: 15

England: 0

NO FLOW POR ONDE A GENTE PASSA É SH… https://t.co/hrAfKW8ScX"
60;@tofanolucs E de futebol também
61;Esse time do São Paulo ganha, mais não convence com um futebol bonito véi.🤦🏻‍♂️
62;@futebol_info @CopadoBrasil a gente quem ? eu achei que vc era uma bola amarelo com inteligência artificial que pos… https://t.co/DwhvcE8TGk
63;@Athleticomidia @lucasmartinssq @JotaaGermano @SofaScoreBR @AthleticoPR O Pathetico tem 0 tradição e 0 expressão na… https://t.co/D5en2uPXI6
64;@LucasLcsCV @futebol_info @CopadoBrasil AÍ É FODA
65;"@kayque_6712 @lipesilva002 @futebol_info Gabigol em 2021

18 jogos
18 gols
3 assistências

Não força."
66;O único esporte pro Brasil é o futebol masculino, vergonha define https://t.co/ck37W8n2kl
67;@fel_CRF @Agusti1907 @GabiFreitasb @futebol_info N acredito que seja uma aposta, é a mesma coisa do Filipe luis
68;como tem gente vendo esse futebol sendo que tá passando handebol feminino
69;@Mattdavelewis NO FLOW 🇧🇷🇧🇷🇧🇷🇧🇷 POR ONDE A GENTE PASSA 🇧🇷🇧🇷🇧🇷É SHOW 🇧🇷🇧🇷🇧🇷 FECHOU 🇧🇷🇧🇷🇧🇷 E OLHA  ONDE A GENTE CHEGO… https://t.co/m5eyxQtJZ7
70;"Agenda olímpica de hoje 🇧🇷

22h20 - roubo
22h49 - roubo na piscina
23h00 - roubo na praia
23h00 - roubo
23h00 - rou… https://t.co/xWbiJTM9uJ"
71;@MV_Mesquita @ECBahia É o Dadismo, filho do Futebol Total
72;"Lei do ex nunca falha
Gol de Pablo, ex jogador de futebol."
73;@Tiago07867265 @bat_gol7 @futebol_info Ficou mais tempo que gabigol e Pedro e fez mais gols que os dois juntos 😂
74;@_alineramos Representando a classe de jogadores de futebol aposentado
75;@josevic_10 Rapaz o vasco não tem time e nem futebol para reverter e ainda tá levando sufoco
76;@CarlosCAlmeida3 @futebol_info Ah c certeza.
77;@CaioResenha O problema dele é errar demais as finalizações em um momento que precisamos muito de resultado. Se est… https://t.co/Ff7iyReDPh
78;@futebol_info Tem q ser mt ruim pra tomar gol do Pablo kkkkkkkkkkkkk
79;VAMOS BRASIL, OS SEUS ATLETAS SAO FODAS E PRECISAM DE INCENTIVO! Não é só o futebol que existe (mídia né queridos)
80;Não dá pra elogiar jogadores do Vasco, Morato, Galarza e Zeca esqueceram o futebol lá em abril no clássico
81;@eisenm4n @emanuelemoraess @wrhmspns @geglobo Sobre a briga eu só larguei um bait, n esperava que a milícia digital… https://t.co/z5VVj3KnGQ
82;@futebol_info @CopadoBrasil Vai aparecer punhetta
