;text
0;@_xther Seloco na Unip eu ficava 2 mês de férias oficiais e ainda parava de ir 15 dias antes
1;@maduardwa simmm,eu fiz matrícula no começo do mês na unip com desconto pq não sabia se iria passar no prouni,as au… https://t.co/kivRxAcSZA
2;unip não vai voltar presencial esse foi o motivo do meu colapso
3;Eu e meus colegas de classe dia 10/08 unip vai estragar meu dia check https://t.co/DZqTzdLsiX
4;minhas meninas tão a noite agora, unip que lute kkkkkkkkkkk 🥵🥵🥵🥵
